countryLabel,governmentLabel,hdi,population,gdpPerCapita,continentLabel
Панама,президентская республика,0.805,4570133,,Северная Америка
Папуа — Новая Гвинея,,0.558,8935000,2757.22,Австралия и Океания
Парагвай,,0.717,6811297,,Южная Америка
Перу,президентская республика,0.762,33726000,,Южная Америка
Польша,смешанная республика,0.876,37563071,,Европа
Польша,парламентская система,0.876,37563071,,Европа
Польша,унитарное государство,0.876,37563071,,Европа
Португалия,республика,0.866,10347892,,Европа
Республика Конго,парламентская республика,0.571,6142180,,Африка
Республика Корея,республика,0.925,51466201,,Азия
Республика Корея,президентская республика,0.925,51466201,,Азия
Республика Косово,парламентская республика,,1586659,,Европа
Россия,суперпрезидентская республика,0.822,146119928,,Европа
Руанда,смешанная республика,0.578,14569341,,Африка
Румыния,смешанная республика,0.821,19053815,,Европа
США,конституционная республика,0.921,340110988,,Северная Америка
США,демократическая республика,0.921,340110988,,Северная Америка
Сальвадор,республика,0.675,6029976,,Северная Америка
Сальвадор,президентская республика,0.675,6029976,,Северная Америка
Сальвадор,представительная демократия,0.675,6029976,,Северная Америка
Самоа,,0.707,200010,,Австралия и Океания
Сан-Марино,диархия,0.853,33600,,Европа
Сан-Марино,парламентская республика,0.853,33600,,Европа
Сан-Томе и Принсипи,,0.618,204327,,Африка
Саудовская Аравия,монархия,0.875,33000000,,Азия
Саудовская Аравия,абсолютная монархия,0.875,33000000,,Азия
Саудовская Аравия,исламская теократия,0.875,33000000,,Азия
Северная Македония,парламентская республика,0.77,1836713,,Европа
Сейшельские Острова,,0.785,119773,,Африка
Сенегал,президентская республика,0.511,16876720,,Африка
Сент-Винсент и Гренадины,конституционная монархия,0.751,109897,,Северная Америка
Сент-Китс и Невис,конституционная монархия,0.777,46922,,Северная Америка
Сент-Китс и Невис,федеративная монархия,0.777,46922,,Северная Америка
Сент-Люсия,конституционная монархия,0.715,167591,,Северная Америка
Сербия,,0.802,6605168,,Европа
Сингапур,парламентская республика,0.939,5866139,,Азия
Синт-Мартен,,,43847,,Северная Америка
Сирия,временное правительство,0.577,23865423,,Азия
Словакия,парламентская республика,0.848,5409407,,Европа
Словения,демократическая республика,0.918,2066880,,Европа
Соломоновы Острова,,0.564,611343,,Океания
Соломоновы Острова,,0.564,611343,,Австралия и Океания
Сомали,федеративная республика,,11031386,,Африка
Сомалиленд,,,6500000,,Африка
Судан,федеративная республика,0.508,40533330,,Африка
Суринам,республика,0.73,563402,,Южная Америка
Сьерра-Леоне,президентская республика,0.477,7557212,,Африка
Таджикистан,президентская республика,0.685,9504000,,Азия
Таиланд,конституционная монархия,0.8,66188503,,Азия
Таиланд,парламентская монархия,0.8,66188503,,Азия
Танзания,,0.549,57310019,,Африка
Того,,0.539,7797694,,Африка
Тонга,,0.745,108020,,Австралия и Океания
Тринидад и Тобаго,парламентская республика,0.81,1369125,,Северная Америка
Тувалу,,0.641,10643,,Океания
Тувалу,,0.641,10643,,Австралия и Океания
Тунис,смешанная республика,0.731,11565204,,Африка
Тунис,парламентская республика,0.731,11565204,,Африка
Турецкая Республика Северного Кипра,смешанная республика,,476214,,Европа
Турецкая Республика Северного Кипра,унитарное государство,,476214,,Европа
Турецкая Республика Северного Кипра,смешанная республика,,476214,,Азия
Турецкая Республика Северного Кипра,унитарное государство,,476214,,Азия
Туркменистан,республика,0.745,6117933,,Азия
Туркменистан,президентская республика,0.745,6117933,,Азия
Турция,президентская республика,0.838,85372377,,Азия
Турция,унитарное государство,0.838,85372377,,Азия
Уганда,президентская республика,0.525,47123531,,Африка
Узбекистан,президентская республика,0.727,34915100,,Азия
Украина,смешанная республика,0.773,41167335,,Европа
Уругвай,республика,0.809,3444263,,Южная Америка
Уругвай,президентская республика,0.809,3444263,,Южная Америка
Уругвай,participatory democracy,0.809,3444263,,Южная Америка
Федеративные Штаты Микронезии,федеративная республика,0.628,75817,,Австралия и Океания
Фиджи,,0.73,926276,,Океания
Филиппины,республика,0.699,112729484,,Азия
Финляндия,парламентская республика,0.94,5652881,,Европа
Франция,смешанная республика,0.903,68605616,,Европа
Хорватия,республика,0.858,3871833,,Европа
Центральноафриканская Республика,,0.404,5152421,,Африка
Чад,,0.394,19319064,,Африка
Черногория,республика,0.832,617213,,Европа
Чехия,парламентская республика,0.889,10909500,31707,Европа
Чили,демократическая республика,0.855,19458000,,Южная Америка
Швейцария,федеративная республика,0.962,9104063,,Европа
Швейцария,директориальная система,0.962,9104063,,Европа
Швеция,конституционная монархия,0.947,10609460,,Европа
Швеция,представительная демократия,0.947,10609460,,Европа
Шри-Ланка,республика,0.782,21444000,,Азия
Эквадор,республика,0.74,16938986,,Южная Америка
Эквадор,президентская республика,0.74,16938986,,Южная Америка
Экваториальная Гвинея,,0.596,1847549,,Африка
Эритрея,,0.492,3497000,,Африка
Эсватини,абсолютная монархия,0.597,1230506,,Африка
Эстония,парламентская республика,0.89,1369995,23757.62,Европа
Эфиопия,федеративная республика,0.498,128691692,,Африка
ЮАР,апартеид,0.713,62027503,,Африка
ЮАР,представительная демократия,0.713,62027503,,Африка
ЮАР,парламентская республика,0.713,62027503,,Африка
Южный Судан,федеративная республика,0.385,12575714,,Африка
Ямайка,,0.709,2697983,,Северная Америка
Япония,конституционная монархия,0.925,123802000,,Азия
