country,countryLabel,governmentLabel,hdi,gdpPerCapita,continentLabel
http://www.wikidata.org/entity/Q801,Израиль,унитарное государство,0.919,,Азия
http://www.wikidata.org/entity/Q801,Израиль,парламентская республика,0.919,,Азия
http://www.wikidata.org/entity/Q668,Индия,республика,0.633,,Азия
http://www.wikidata.org/entity/Q668,Индия,федеративная республика,0.633,,Азия
http://www.wikidata.org/entity/Q668,Индия,конституционная республика,0.633,,Азия
http://www.wikidata.org/entity/Q668,Индия,демократическая республика,0.633,,Азия
http://www.wikidata.org/entity/Q252,Индонезия,республика,0.705,,Азия
http://www.wikidata.org/entity/Q252,Индонезия,президентская республика,0.705,,Азия
http://www.wikidata.org/entity/Q810,Иордания,,0.72,,Азия
http://www.wikidata.org/entity/Q796,Ирак,федеративное государство,0.686,,Азия
http://www.wikidata.org/entity/Q796,Ирак,федеративная республика,0.686,,Азия
http://www.wikidata.org/entity/Q794,Иран,президентская республика,0.774,,Азия
http://www.wikidata.org/entity/Q794,Иран,унитарное государство,0.774,,Азия
http://www.wikidata.org/entity/Q794,Иран,исламская республика,0.774,,Азия
http://www.wikidata.org/entity/Q794,Иран,исламская теократия,0.774,,Азия
http://www.wikidata.org/entity/Q27,Ирландия,республика,0.945,,Европа
http://www.wikidata.org/entity/Q27,Ирландия,унитарное государство,0.945,,Европа
http://www.wikidata.org/entity/Q189,Исландия,парламентская республика,0.959,,Европа
http://www.wikidata.org/entity/Q29,Испания,парламентская монархия,0.905,29993.06,Европа
http://www.wikidata.org/entity/Q38,Италия,парламентская республика,0.895,,Европа
http://www.wikidata.org/entity/Q805,Йемен,республика,0.455,,Азия
http://www.wikidata.org/entity/Q805,Йемен,президентская республика,0.455,,Азия
http://www.wikidata.org/entity/Q423,КНДР,республика,,,Азия
http://www.wikidata.org/entity/Q423,КНДР,однопартийная система,,,Азия
http://www.wikidata.org/entity/Q423,КНДР,унитарное государство,,,Азия
http://www.wikidata.org/entity/Q423,КНДР,чучхе,,,Азия
http://www.wikidata.org/entity/Q423,КНДР,социалистическое государство,,,Азия
http://www.wikidata.org/entity/Q423,КНДР,семейная диктатура,,,Азия
http://www.wikidata.org/entity/Q423,КНДР,коммунистическая диктатура,,,Азия
http://www.wikidata.org/entity/Q1011,Кабо-Верде,парламентская республика,0.662,,Африка
http://www.wikidata.org/entity/Q232,Казахстан,президентская республика,0.811,,Европа
http://www.wikidata.org/entity/Q232,Казахстан,президентская республика,0.811,,Азия
http://www.wikidata.org/entity/Q424,Камбоджа,конституционная монархия,0.593,,Азия
http://www.wikidata.org/entity/Q1009,Камерун,республика,0.576,,Африка
http://www.wikidata.org/entity/Q16,Канада,конституционная монархия,0.936,,Северная Америка
http://www.wikidata.org/entity/Q16,Канада,федеративное государство,0.936,,Северная Америка
http://www.wikidata.org/entity/Q16,Канада,парламентская система,0.936,,Северная Америка
http://www.wikidata.org/entity/Q846,Катар,конституционная монархия,0.855,,Азия
http://www.wikidata.org/entity/Q114,Кения,,0.575,,Африка
http://www.wikidata.org/entity/Q229,Кипр,республика,0.896,,Европа
http://www.wikidata.org/entity/Q229,Кипр,президентская республика,0.896,,Европа
http://www.wikidata.org/entity/Q710,Кирибати,,0.624,,Океания
http://www.wikidata.org/entity/Q710,Кирибати,,0.624,,Австралия и Океания
http://www.wikidata.org/entity/Q148,Китай,республика,0.768,,Азия
http://www.wikidata.org/entity/Q148,Китай,однопартийная система,0.768,,Азия
http://www.wikidata.org/entity/Q148,Китай,унитарное государство,0.768,,Азия
http://www.wikidata.org/entity/Q148,Китай,демократический централизм,0.768,,Азия
http://www.wikidata.org/entity/Q148,Китай,конституционная республика,0.768,,Азия
http://www.wikidata.org/entity/Q148,Китай,парламентская республика,0.768,,Азия
http://www.wikidata.org/entity/Q148,Китай,коммунистическая диктатура,0.768,,Азия
http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),демократия,0.911,,Азия
http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),смешанная республика,0.911,,Азия
http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),конституционная республика,0.911,,Азия
http://www.wikidata.org/entity/Q739,Колумбия,республика,0.752,,Южная Америка
